cnpj;dt_abertura;matriz.empresaMatriz;cd_cnae_principal;de_cnae_principal;de_ramo_atividade;de_setor;endereco_cep;endereco_municipio;endereco_uf;endereco_regiao;endereco_mesorregiao;situacao_cadastral
24904895000157;2016-05-31;true;4785701;COMERCIO VAREJISTA DE ANTIGUIDADES;VAREJO;COMERCIO;24110430;NITEROI;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
22001891000133;2015-03-08;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;22713535;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
34551972000196;2019-08-15;true;5611201;RESTAURANTES E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;38048422;UBERABA;MG;SUDESTE;TRIANGULO MINEIRO ALTO PARANAIBA;ATIVA
36206554000197;2020-01-31;true;9602501;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;65800000;BALSAS;MA;NORDESTE;SUL MARANHENSE;ATIVA
37235230000140;2020-05-26;true;3299099;FABRICACAO DE PRODUTOS DIVERSOS NAO ESPECIFICADOS ANTERIORMENTE;DIVERSOS;INDUSTRIA;89031300;BLUMENAU;SC;SUL;VALE DO ITAJAI;ATIVA
33268481000170;2019-04-05;true;3313901;MANUTENCAO E REPARACAO DE GERADORES TRANSFORMADORES E MOTORES ELETRICOS;SERVICOS DIVERSOS;SERVICOS;78556058;SINOP;MT;CENTRO-OESTE;NORTE MATO GROSSENSE;ATIVA
37167892000120;2020-05-18;true;6110803;SERVICOS DE COMUNICACAO MULTIMIDIA SCM;TELECOM;SERVICOS;38380000;CANAPOLIS;MG;SUDESTE;TRIANGULO MINEIRO ALTO PARANAIBA;ATIVA
20656839000190;2014-07-17;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;05415020;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
16577858000315;2012-11-29;false;0116401;CULTIVO DE AMENDOIM;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;15960000;ARIRANHA;SP;SUDESTE;SAO JOSE DO RIO PRETO;ATIVA
22873589000175;2015-07-17;true;4755503;COMERCIO VAREJISTA DE ARTIGOS DE CAMA MESA E BANHO;VAREJO;COMERCIO;35382000;PIEDADE DE PONTE NOVA;MG;SUDESTE;ZONA DA MATA;ATIVA
14787828000146;2011-12-20;true;3329599;INSTALACAO DE OUTROS EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS DIVERSOS;SERVICOS;30260210;BELO HORIZONTE;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;ATIVA
24383890000126;2016-03-14;true;4618499;OUTROS REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO ESPECIALIZADO EM PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;ATACADO;COMERCIO;22723002;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
35542502000129;2019-11-18;true;2512800;FABRICACAO DE ESQUADRIAS DE METAL;SIDERURGICA-METALURGIA;INDUSTRIA;26580070;MESQUITA;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
00238295000139;1983-05-05;true;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS SEM MANIPULACAO DE FORMULAS;VAREJO;COMERCIO;75388658;TRINDADE;GO;CENTRO-OESTE;CENTRO GOIANO;ATIVA
14958620000142;2012-01-30;true;5611201;RESTAURANTES E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;37584000;CONGONHAL;MG;SUDESTE;SUL SUDOESTE DE MINAS;ATIVA
37453325000130;2020-06-18;true;6209100;SUPORTE TECNICO MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO;INDUSTRIA DIGITAL;SERVICOS;22795491;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
40089774000155;2020-12-11;true;4619200;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO;ATACADO;COMERCIO;13213142;JUNDIAI;SP;SUDESTE;MACRO METROPOLITANA PAULISTA;ATIVA
36941716000130;2020-04-15;true;5229099;OUTRAS ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES NAO ESPECIFICADAS ANTERIORMENTE;TRANSPORTE;SERVICOS;08451500;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;ATIVA
29744778663897;2009-12-14;false;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;SERVICOS DIVERSOS;SERVICOS;46470000;RIACHO DE SANTANA;BA;NORDESTE;CENTRO SUL BAIANO;ATIVA
34239050000148;2019-07-17;true;4530704;COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES;VAREJO;COMERCIO;88130635;PALHOCA;SC;SUL;GRANDE FLORIANOPOLIS;ATIVA
29424652000135;1975-10-09;true;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;SERVICOS DIVERSOS;SERVICOS;26250305;NOVA IGUACU;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;ATIVA
23406841000107;2015-10-05;true;9601701;LAVANDERIAS;SERVICOS DIVERSOS;SERVICOS;59149196;PARNAMIRIM;RN;NORDESTE;LESTE POTIGUAR;ATIVA
02340979000504;2008-10-24;false;6209100;SUPORTE TECNICO MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO;INDUSTRIA DIGITAL;SERVICOS;16055520;ARACATUBA;SP;SUDESTE;ARACATUBA;ATIVA
29646729000111;2018-02-07;true;6630400;ATIVIDADES DE ADMINISTRACAO DE FUNDOS POR CONTRATO OU COMISSAO;BENS DE CAPITAL;SERVICOS;88717000;SANGAO;SC;SUL;SUL CATARINENSE;ATIVA
41671455000116;2021-04-22;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;13573020;SAO CARLOS;SP;SUDESTE;ARARAQUARA;ATIVA
04513963000140;2001-03-22;true;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;SERVICOS DIVERSOS;SERVICOS;78035005;CUIABA;MT;CENTRO-OESTE;CENTRO SUL MATO GROSSENSE;ATIVA
48093554000107;2022-09-27;true;4930201;TRANSPORTE RODOVIARIO DE CARGA EXCETO PRODUTOS PERIGOSOS E MUDANCAS MUNICIPAL;TRANSPORTE;SERVICOS;42510000;SALVADOR;BA;NORDESTE;METROPOLITANA DE SALVADOR;ATIVA
38371062000182;2020-09-08;true;4330499;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;85885000;SERRANOPOLIS DO IGUACU;PR;SUL;OESTE PARANAENSE;ATIVA
01699468000189;1997-01-27;true;4763603;COMERCIO VAREJISTA DE BICICLETAS E TRICICLOS PECAS E ACESSORIOS;VAREJO;COMERCIO;13222000;VARZEA PAULISTA;SP;SUDESTE;MACRO METROPOLITANA PAULISTA;ATIVA
07804499000139;2005-12-28;true;5611203;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;98590970;SANTO AUGUSTO;RS;SUL;NOROESTE RIO GRANDENSE;ATIVA
19006262000191;2013-10-03;true;4754701;COMERCIO VAREJISTA DE MOVEIS;VAREJO;COMERCIO;38840000;CARMO DO PARANAIBA;MG;SUDESTE;TRIANGULO MINEIRO ALTO PARANAIBA;ATIVA
07468859000179;2005-06-23;true;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;55680000;BONITO;PE;NORDESTE;AGRESTE PERNAMBUCANO;ATIVA
